V1	V4	V5	V7	gene_name	gene_id
1	2228319	2310213	+	SKI	ENSG00000157933.10
1	2321253	2391707	-	MORN1	ENSG00000116151.14
1	2391775	2405442	+	RER1	ENSG00000157916.20
1	2403964	2413797	-	PEX10	ENSG00000157911.11
1	2425980	2505532	+	PLCH2	ENSG00000149527.18
1	2508537	2526597	-	PANK4	ENSG00000157881.16
1	2528745	2530263	-	HES5	ENSG00000197921.6
1	2555639	2565382	+	TNFRSF14	ENSG00000157873.17
1	2586491	2591469	+	PRXL2B	ENSG00000157870.17
1	2590639	2633016	-	MMEL1	ENSG00000142606.16
1	2635976	2801717	-	TTC34	ENSG00000215912.12
1	3021467	3022903	+	ACTRT2	ENSG00000169717.7
1	3069168	3438621	+	PRDM16	ENSG00000142611.17
1	3454665	3481113	+	ARHGEF16	ENSG00000130762.15
1	3487951	3611508	-	MEGF6	ENSG00000162591.16
1	3625015	3630127	+	TPRG1L	ENSG00000158109.15
1	3630767	3652761	-	WRAP73	ENSG00000116213.16
1	3652516	3736201	+	TP73	ENSG00000078900.15
1	3746460	3771645	+	CCDC27	ENSG00000162592.10
1	3772749	3775982	+	SMIM1	ENSG00000235169.11
1	3778559	3796498	-	LRRC47	ENSG00000130764.10
1	3812086	3857396	-	CEP104	ENSG00000116198.14
1	3857267	3885429	+	DFFB	ENSG00000169598.17
1	3889125	3900293	-	C1orf174	ENSG00000198912.11
1	4654609	4792534	+	AJAP1	ENSG00000196581.11
1	5862811	5992473	-	NPHP4	ENSG00000131697.18
1	5990927	6101193	+	KCNAB2	ENSG00000069424.15
1	6101787	6180321	-	CHD5	ENSG00000116254.18
1	6159430	6197757	-	AL031847.1	ENSG00000285629.1
1	6185020	6209389	-	RPL22	ENSG00000116251.11
1	6205475	6221299	+	RNF207	ENSG00000158286.13
1	6221193	6235972	-	ICMT	ENSG00000116237.16
1	6244179	6245578	+	HES3	ENSG00000173673.8
1	6247353	6261098	-	GPR153	ENSG00000158292.7
1	6264269	6393767	-	ACOT7	ENSG00000097021.20
1	6412418	6424670	-	HES2	ENSG00000069812.11
1	6424776	6461367	+	ESPN	ENSG00000187017.17
1	6460786	6466175	-	TNFRSF25	ENSG00000215788.11
1	6467122	6520074	-	PLEKHG5	ENSG00000171680.23
1	6521347	6554513	-	NOL9	ENSG00000162408.11
1	6555307	6579755	+	TAS1R1	ENSG00000173662.21
1	6579994	6589280	+	ZBTB48	ENSG00000204859.13
1	6590724	6614607	-	KLHL21	ENSG00000162413.16
1	6613731	6624030	+	PHF13	ENSG00000116273.6
1	6624866	6635586	+	THAP3	ENSG00000041988.15
1	6634168	6701924	-	DNAJC11	ENSG00000007923.16
1	6785454	7769706	+	CAMTA1	ENSG00000171735.19
1	7771296	7781432	+	VAMP3	ENSG00000049245.13
1	7784320	7845177	+	PER3	ENSG00000049246.14
1	7843083	7853512	-	UTS2	ENSG00000049247.14
1	7915871	7943165	-	TNFRSF9	ENSG00000049249.9
1	7954291	7985505	+	PARK7	ENSG00000116288.13
1	8004404	8026309	-	ERRFI1	ENSG00000116285.13
1	8318114	8344167	+	SLC45A1	ENSG00000162426.16
1	8352397	8848921	-	RERE	ENSG00000142599.19
1	8861000	8879190	-	ENO1	ENSG00000074800.16
1	8945867	8975092	+	CA6	ENSG00000131686.15
1	9003300	9026345	-	SLC2A7	ENSG00000197241.3
1	9035106	9088478	-	SLC2A5	ENSG00000142583.18
1	9100305	9129102	-	GPR157	ENSG00000180758.12
1	9234774	9271337	+	H6PD	ENSG00000049239.13
1	9292894	9369532	+	SPSB1	ENSG00000171621.14
1	9539465	9585173	+	SLC25A33	ENSG00000171612.7
1	9588911	9614877	+	TMEM201	ENSG00000188807.13
1	9651731	9729114	+	PIK3CD	ENSG00000171608.16
1	9728926	9823984	-	CLSTN1	ENSG00000171603.18
1	9848276	9910336	-	CTNNBIP1	ENSG00000178585.15
1	9922113	9943407	-	LZIC	ENSG00000162441.12
1	9943428	9985501	+	NMNAT1	ENSG00000173614.14
1	9997206	10016021	+	RBP7	ENSG00000162444.12
1	10032832	10181239	+	UBE4B	ENSG00000130939.20
1	10210570	10381603	+	KIF1B	ENSG00000054523.18
1	10398592	10420511	+	PGD	ENSG00000142657.21
1	10430102	10452153	+	CENPS-CORT	ENSG00000251503.8
1	10430433	10442808	+	CENPS	ENSG00000175279.22
1	10450031	10451998	+	CORT	ENSG00000241563.4
1	10456522	10472529	-	DFFA	ENSG00000160049.12
1	10472288	10630758	+	PEX14	ENSG00000142655.13
1	10636604	10796650	-	CASZ1	ENSG00000130940.15
1	10946471	10982037	-	C1orf127	ENSG00000175262.14
1	11012344	11025739	+	TARDBP	ENSG00000120948.18
1	11012662	11030528	+	AL109811.3	ENSG00000277726.4
1	11026523	11047239	-	MASP2	ENSG00000009724.17
1	11054584	11060020	-	SRM	ENSG00000116649.10
1	11066618	11099869	-	EXOSC10	ENSG00000171824.14
1	11106535	11262551	-	MTOR	ENSG00000198793.13
1	11189355	11195981	+	ANGPTL7	ENSG00000171819.5
1	11273198	11296049	+	UBIAD1	ENSG00000120942.14
1	11479155	11537551	+	DISP3	ENSG00000204624.8
1	11637018	11655785	-	FBXO2	ENSG00000116661.11
1	11654375	11663327	+	FBXO44	ENSG00000132879.14
1	11664200	11674354	+	FBXO6	ENSG00000116663.11
1	11674480	11691650	-	MAD2L2	ENSG00000116670.15
1	11691710	11725857	+	DRAXIN	ENSG00000162490.7
1	11736084	11754802	+	AGTRAP	ENSG00000177674.16
1	11761787	11789585	+	C1orf167	ENSG00000215910.7
1	11785723	11806455	-	MTHFR	ENSG00000177000.13
1	11806096	11848079	+	CLCN6	ENSG00000011021.23
1	11845709	11848345	-	NPPA	ENSG00000175206.10
1	11857464	11858945	-	NPPB	ENSG00000120937.9
1	11919591	11926428	-	KIAA2013	ENSG00000116685.16
1	11934205	11975538	+	PLOD1	ENSG00000083444.17
1	11980181	12015211	+	MFN2	ENSG00000116688.18
1	12019466	12032045	+	MIIP	ENSG00000116691.11
1	12063303	12144207	+	TNFRSF8	ENSG00000120949.15
1	12166991	12209228	+	TNFRSF1B	ENSG00000028137.19
1	12230030	12512047	+	VPS13D	ENSG00000048707.15
1	12567910	12618210	-	DHRS3	ENSG00000162496.9
1	12644547	12667086	+	AADACL4	ENSG00000204518.2
1	12716110	12728760	+	AADACL3	ENSG00000188984.12
1	12746200	12763699	+	C1orf158	ENSG00000157330.10
1	12773738	12777906	+	PRAMEF12	ENSG00000116726.5
1	12791397	12796628	+	PRAMEF1	ENSG00000116721.9
1	12824605	12831410	-	PRAMEF11	ENSG00000239810.3
1	12847377	12848720	-	HNRNPCL1	ENSG00000179172.10
1	12857086	12861909	+	PRAMEF2	ENSG00000120952.4
1	12879212	12886201	-	PRAMEF4	ENSG00000243073.4
1	12892896	12898270	-	PRAMEF10	ENSG00000187545.5
1	12916610	12920482	+	PRAMEF7	ENSG00000204510.5
1	12938472	12947580	-	PRAMEF6	ENSG00000232423.6
1	13049476	13056575	-	PRAMEF27	ENSG00000274764.6
1	13060869	13062229	+	HNRNPCL3	ENSG00000277058.2
1	13068677	13077884	+	PRAMEF25	ENSG00000229571.7
1	13115488	13116854	-	HNRNPCL2	ENSG00000275774.3
1	13148905	13155961	-	PRAMEF26	ENSG00000280267.4
1	13163914	13165631	-	HNRNPCL4	ENSG00000179412.11
1	13172455	13179464	+	PRAMEF9	ENSG00000204505.4
1	13196188	13201409	-	PRAMEF13	ENSG00000279169.3
1	13222705	13226106	-	PRAMEF18	ENSG00000279804.2
1	13254212	13263314	+	PRAMEF5	ENSG00000270601.4
1	13281035	13285174	-	PRAMEF8	ENSG00000182330.10
1	13303539	13308907	+	PRAMEF33	ENSG00000237700.2
1	13315581	13322598	+	PRAMEF15	ENSG00000204501.7
1	13341892	13347134	-	PRAMEF14	ENSG00000204481.8
1	13369067	13371900	-	PRAMEF19	ENSG00000204480.8
1	13389632	13392629	+	PRAMEF17	ENSG00000204479.4
1	13416351	13421328	+	PRAMEF20	ENSG00000204478.10
1	13474973	13514003	-	LRRC38	ENSG00000162494.6
1	13583465	13617957	+	PDPN	ENSG00000162493.16
1	13700198	13825079	+	PRDM2	ENSG00000116731.22
1	13892792	15118043	+	KAZN	ENSG00000189337.17
1	15152532	15220478	+	TMEM51	ENSG00000171729.14
1	15247272	15400283	+	FHAD1	ENSG00000142621.19
1	15409888	15430339	+	EFHD2	ENSG00000142634.13
1	15438442	15449242	+	CTRC	ENSG00000162438.12
1	15456728	15472091	+	CELA2A	ENSG00000142615.8
1	15465909	15491395	+	CELA2B	ENSG00000215704.10
1	15490832	15526534	-	CASP9	ENSG00000132906.18
1	15526813	15592379	+	DNAJC16	ENSG00000116138.13
1	15571699	15585051	-	AGMAT	ENSG00000116771.6
1	15617458	15669044	+	DDI2	ENSG00000197312.12
1	15659869	15661722	+	RSC1A1	ENSG00000215695.1
1	15684320	15734769	+	PLEKHM2	ENSG00000116786.13
1	15736258	15741392	+	SLC25A34	ENSG00000162461.8
1	15742499	15747982	+	TMEM82	ENSG00000162460.7
1	15756607	15786594	+	FBLIM1	ENSG00000162458.13
1	15807169	15809348	-	UQCRHL	ENSG00000233954.6
1	15836095	15940456	+	SPEN	ENSG00000065526.12
1	15941869	15976132	-	ZBTB17	ENSG00000116809.12
1	16004236	16008807	+	SRARP	ENSG00000183888.4
1	16014028	16019594	-	HSPB7	ENSG00000173641.18
1	16018875	16034050	+	CLCNKA	ENSG00000186510.12
1	16043736	16057308	+	CLCNKB	ENSG00000184908.18
1	16057769	16073651	-	FAM131C	ENSG00000185519.9
1	16124337	16156069	-	EPHA2	ENSG00000142627.13
1	16197854	16212652	-	ARHGEF19	ENSG00000142632.17
1	16231692	16237183	-	CPLANE2	ENSG00000132881.12
1	16246840	16352480	-	FBXO42	ENSG00000037637.11
1	16352575	16398145	+	SZRD1	ENSG00000055070.17
1	16387117	16437424	-	SPATA21	ENSG00000187144.11
1	16440721	16460078	+	NECAP2	ENSG00000157191.20
1	16562319	16613562	-	NBPF1	ENSG00000219481.10
1	16740273	16972964	+	CROCC	ENSG00000058453.17
1	16974502	16980632	-	MFAP2	ENSG00000117122.14
1	16985958	17011928	-	ATP13A2	ENSG00000159363.19
1	17005068	17011757	-	AL049569.3	ENSG00000288636.1
1	17018722	17054032	-	SDHB	ENSG00000117118.10
1	17066761	17119451	-	PADI2	ENSG00000117115.13
1	17205128	17246007	+	PADI1	ENSG00000142623.11
1	17249098	17284233	+	PADI3	ENSG00000142619.4
1	17308195	17364004	+	PADI4	ENSG00000159339.13
1	17372196	17401699	+	PADI6	ENSG00000276747.1
1	17406760	17439677	-	RCC2	ENSG00000179051.14
1	17539698	17697874	+	ARHGEF10L	ENSG00000074964.17
1	17755333	17827063	+	ACTL8	ENSG00000117148.8
1	18107798	18378483	+	IGSF21	ENSG00000117154.12
1	18480982	18486126	+	KLHDC7A	ENSG00000179023.8
1	18630846	18748866	+	PAX7	ENSG00000009709.12
1	18839599	18859682	-	TAS1R2	ENSG00000179002.5
1	18871430	18902724	-	ALDH4A1	ENSG00000159423.17
1	18904280	18956676	-	IFFO2	ENSG00000169991.11
1	19074510	19210266	-	UBR4	ENSG00000127481.15
1	19215660	19251527	-	EMC1	ENSG00000127463.15
1	19251805	19260128	+	MRTO4	ENSG00000053372.5
1	19282573	19288770	-	AKR7A3	ENSG00000162482.5
1	19303965	19312146	-	AKR7A2	ENSG00000053371.12
1	19312326	19329300	+	SLC66A1	ENSG00000040487.13
1	19338775	19485539	-	CAPZB	ENSG00000077549.19
1	19484403	19629821	+	MICOS10	ENSG00000173436.15
1	19596979	19658456	+	NBL1	ENSG00000158747.15
1	19597067	19656927	+	MICOS10-NBL1	ENSG00000270136.6
1	19664875	19680966	+	HTR6	ENSG00000158748.4
1	19682213	19799945	-	TMCO4	ENSG00000162542.13
1	19814029	19815283	-	RNF186	ENSG00000178828.7
1	19882395	19912945	+	OTUD3	ENSG00000169914.6
1	19920009	19923617	-	PLA2G2E	ENSG00000188784.4
1	19975431	19980416	-	PLA2G2A	ENSG00000188257.12
1	20028179	20091911	+	PLA2G5	ENSG00000127472.11
1	20111939	20119566	-	PLA2G2D	ENSG00000117215.15
1	20139323	20150381	+	PLA2G2F	ENSG00000158786.5
1	20161253	20186518	-	PLA2G2C	ENSG00000187980.7
1	20186096	20196050	+	UBXN10	ENSG00000162543.6
1	20290919	20354894	+	VWA5B1	ENSG00000158816.15
1	20482391	20486210	-	CAMK2N1	ENSG00000162545.6
1	20499448	20508151	-	MUL1	ENSG00000090432.7
1	20552573	20555020	+	FAM43B	ENSG00000183114.8
1	20589086	20618903	+	CDA	ENSG00000158825.6
1	20633458	20651511	+	PINK1	ENSG00000158828.8
1	20651767	20661544	-	DDOST	ENSG00000244038.11
1	20664014	20718017	-	KIF17	ENSG00000117245.13
1	20719731	20732837	-	SH2D5	ENSG00000189410.12
1	20740266	20787323	-	HP1BP3	ENSG00000127483.19
1	20806292	21176888	-	EIF4G3	ENSG00000075151.21
1	21217247	21345572	-	ECE1	ENSG00000117298.16
1	21440128	21485005	+	NBPF3	ENSG00000142794.19
1	21509397	21578410	+	ALPL	ENSG00000162551.14
1	21596215	21669363	-	RAP1GAP	ENSG00000076864.19
1	21678298	21783606	-	USP48	ENSG00000090686.16
1	21812265	21825225	+	LDLRAD2	ENSG00000187942.12
1	21822244	21937310	-	HSPG2	ENSG00000142798.20
1	21977022	21998642	+	CELA3B	ENSG00000219073.8
1	22001657	22012542	+	CELA3A	ENSG00000142789.20
1	22025511	22101360	+	CDC42	ENSG00000070831.17
1	22117313	22143969	-	WNT4	ENSG00000162552.15
1	22428838	22531157	+	ZBTB40	ENSG00000184677.18
1	22563489	22603595	+	EPHA8	ENSG00000070886.12
1	22636628	22639678	+	C1QA	ENSG00000173372.17
1	22643633	22648110	+	C1QC	ENSG00000159189.12
1	22652762	22661637	+	C1QB	ENSG00000173369.17
1	22710839	22921500	+	EPHB2	ENSG00000133216.17
1	22953043	22965338	-	LACTBL1	ENSG00000215906.8
1	23010834	23015852	-	TEX46	ENSG00000227868.6
1	23019443	23083689	+	KDM1A	ENSG00000004487.17
1	23084023	23177808	-	LUZP1	ENSG00000169641.13
1	23191895	23194729	-	HTR1D	ENSG00000179546.4
1	23303771	23344336	-	HNRNPR	ENSG00000125944.21
1	23359448	23369836	-	ZNF436	ENSG00000125945.15
1	23380909	23424748	-	TCEA3	ENSG00000204219.11
1	23428563	23484568	-	ASAP3	ENSG00000088280.19
1	23506438	23531233	-	E2F2	ENSG00000007968.7
1	23557926	23559501	-	ID3	ENSG00000117318.9
1	23691742	23696835	+	RPL11	ENSG00000142676.14
1	23743155	23762059	+	ELOA	ENSG00000011007.12
1	23778418	23788232	+	PITHD1	ENSG00000057757.10
1	23791145	23795539	+	LYPLA2	ENSG00000011009.11
1	23795599	23800781	-	GALE	ENSG00000117308.15
1	23801885	23838620	-	HMGCL	ENSG00000117305.15
1	23845077	23868290	-	FUCA1	ENSG00000179163.12
1	23870515	23913362	-	CNR2	ENSG00000188822.8
1	23956839	23963462	+	PNRC2	ENSG00000189266.13
1	23964347	23980927	-	SRSF10	ENSG00000188529.15
1	24056035	24112135	-	MYOM3	ENSG00000142661.19
1	24119771	24143140	-	IL22RA1	ENSG00000142677.4
1	24154168	24187959	-	IFNLR1	ENSG00000185436.12
1	24319357	24364482	+	GRHL3	ENSG00000158055.16
1	24356999	24416934	-	STPG1	ENSG00000001460.18
1	24415802	24472976	+	NIPAL3	ENSG00000001461.17
1	24502351	24541040	+	RCAN3	ENSG00000117602.13
1	24556087	24609328	+	NCMAP	ENSG00000184454.7
1	24631716	24673281	+	SRRM1	ENSG00000133226.17
1	24745382	24844321	+	CLIC4	ENSG00000169504.15
1	24899511	24965121	-	RUNX3	ENSG00000020633.19
1	25222276	25232502	-	SYF2	ENSG00000117614.10
1	25242249	25338213	-	RSRP1	ENSG00000117616.18
1	25272393	25330445	+	RHD	ENSG00000187010.21
1	25338317	25362361	+	TMEM50A	ENSG00000183726.11
1	25362249	25430192	-	RHCE	ENSG00000188672.19
1	25430858	25500209	+	MACO1	ENSG00000204178.11
1	25543606	25568886	+	LDLRAP1	ENSG00000157978.12
1	25617468	25786207	+	MAN1C1	ENSG00000117643.14
1	25800176	25818221	+	SELENON	ENSG00000162430.17
1	25811470	25823744	+	AL020996.2	ENSG00000255054.3
1	25818640	25832942	+	MTFR1L	ENSG00000117640.18
1	25831913	25859458	-	AUNIP	ENSG00000127423.11
1	25861484	25875708	-	PAQR7	ENSG00000182749.6
1	25884181	25906991	-	STMN1	ENSG00000117632.23
1	25959767	25998117	-	PAFAH2	ENSG00000158006.14
1	26019884	26036464	+	EXTL1	ENSG00000158008.10
1	26037252	26046118	-	SLC30A2	ENSG00000158014.15
1	26051301	26068436	-	TRIM63	ENSG00000158022.7
1	26111165	26125555	+	PDIK1L	ENSG00000175087.10
1	26159079	26163962	+	FAM110D	ENSG00000197245.6
1	26164101	26168963	-	C1orf232	ENSG00000282872.2
1	26169516	26171831	-	AL391650.1	ENSG00000236782.7
1	26169908	26170873	+	ZNF593	ENSG00000142684.9
1	26177484	26189884	+	CNKSR1	ENSG00000142675.18
1	26190561	26202968	+	CATSPER4	ENSG00000188782.9
1	26234200	26278808	+	CEP85	ENSG00000130695.16
1	26280086	26281522	+	SH3BGRL3	ENSG00000142669.15
1	26281328	26318363	-	UBXN11	ENSG00000158062.20
1	26317958	26320523	+	CD52	ENSG00000169442.9
1	26321698	26360080	-	CRYBG2	ENSG00000176092.16
1	26361634	26374522	-	ZNF683	ENSG00000176083.18
1	26410817	26429728	+	LIN28A	ENSG00000131914.11
1	26432282	26471306	+	DHDDS	ENSG00000117682.17
1	26472440	26476642	+	HMGN2	ENSG00000198830.11
1	26529761	26575030	+	RPS6KA1	ENSG00000117676.14
1	26693236	26782104	+	ARID1A	ENSG00000117713.20
1	26787054	26800659	+	PIGV	ENSG00000060642.11
1	26826688	26857604	+	ZDHHC18	ENSG00000204160.12
1	26863149	26864456	+	SFN	ENSG00000175793.12
1	26876132	26890283	-	GPN2	ENSG00000142751.15
1	26890488	26900467	-	GPATCH3	ENSG00000198746.13
1	26900238	26946871	+	NUDC	ENSG00000090273.14
1	26911489	26913975	-	NR0B2	ENSG00000131910.5
1	26949562	26960468	-	KDF1	ENSG00000175707.9
1	26993692	27000886	+	TRNP1	ENSG00000253368.4
1	27005020	27012850	-	TENT5B	ENSG00000158246.8
1	27098809	27166981	-	SLC9A1	ENSG00000090020.11
1	27234632	27308636	+	WDTC1	ENSG00000142784.16
1	27322145	27336400	+	TMEM222	ENSG00000186501.14
1	27342020	27353937	+	SYTL1	ENSG00000142765.18
1	27354067	27366961	-	MAP3K6	ENSG00000142733.17
1	27369110	27374824	-	FCN3	ENSG00000142748.13
1	27379176	27383333	-	CD164L2	ENSG00000174950.11
1	27392622	27395814	+	GPR3	ENSG00000181773.7
1	27404230	27490167	-	WASF2	ENSG00000158195.11
1	27534035	27604431	-	AHDC1	ENSG00000126705.15
1	27612064	27635185	-	FGR	ENSG00000000938.13
1	27666064	27672198	-	IFI6	ENSG00000126709.15
1	27725961	27763116	+	FAM76A	ENSG00000009780.16
1	27773219	27824443	+	STX12	ENSG00000117758.14
1	27830782	27851676	+	PPP1R8	ENSG00000117751.18
1	27872543	27886685	+	THEMIS2	ENSG00000130775.16
1	27891524	27914746	-	RPA2	ENSG00000117748.10
1	27935000	27959157	+	SMPDL3B	ENSG00000130768.15
1	27959588	27968093	+	XKR8	ENSG00000158156.9
1	27970344	28088637	-	EYA3	ENSG00000158161.16
1	28147166	28193936	-	PTAFR	ENSG00000169403.12
1	28199456	28233029	-	DNAJC8	ENSG00000126698.11
1	28236109	28246906	+	ATP5IF1	ENSG00000130770.18
1	28259518	28282491	+	SESN2	ENSG00000130766.5
1	28329002	28335965	+	MED18	ENSG00000130772.14
1	28369582	28500364	+	PHACTR4	ENSG00000204138.13
1	28505943	28539300	+	RCC1	ENSG00000180198.16
1	28553085	28578545	+	TRNAU1AP	ENSG00000180098.9
1	28589323	28643085	-	TAF12	ENSG00000120656.12
1	28592200	28595443	+	RAB42	ENSG00000188060.7
1	28668778	28719353	+	GMEB1	ENSG00000162419.13
1	28736621	28769775	+	YTHDF2	ENSG00000198492.16
1	28812142	28871267	+	OPRD1	ENSG00000116329.11
1	28887091	29120046	+	EPB41	ENSG00000159023.22
1	29119429	29123903	-	TMEM200B	ENSG00000253304.2
1	29147743	29181900	-	SRSF4	ENSG00000116350.17
1	29192657	29230942	-	MECR	ENSG00000116353.16
1	29236516	29326813	+	PTPRU	ENSG00000060656.20
1	30711277	30723585	-	MATN1	ENSG00000162510.6
1	30732469	30757774	-	LAPTM5	ENSG00000162511.8
1	30869466	30908758	-	SDC3	ENSG00000162512.16
1	30931506	31065991	-	PUM1	ENSG00000134644.16
1	31179745	31239887	-	NKAIN1	ENSG00000084628.10
1	31259568	31296788	-	SNRNP40	ENSG00000060688.13
1	31296982	31364953	+	ZCCHC17	ENSG00000121766.16
1	31365253	31376850	-	FABP3	ENSG00000121769.8
1	31409565	31434680	+	SERINC2	ENSG00000168528.12
1	31576485	31587686	+	TINAGL1	ENSG00000142910.16
1	31617686	31632518	+	HCRTR1	ENSG00000121764.11
1	31629866	31644896	-	PEF1	ENSG00000162517.13
1	31652263	31704319	-	COL16A1	ENSG00000084636.18
1	31727117	31764893	-	ADGRB2	ENSG00000121753.12
1	31790422	31816051	-	SPOCD1	ENSG00000134668.12
1	31906421	31944856	-	PTP4A2	ENSG00000184007.22
1	32013868	32060850	+	KHDRBS1	ENSG00000121774.18
1	32072031	32102866	+	TMEM39B	ENSG00000121775.18
1	32108056	32176563	+	KPNA6	ENSG00000025800.14
1	32179675	32198285	+	TXLNA	ENSG00000084652.16
1	32200595	32205387	+	CCDC28B	ENSG00000160050.15
1	32205671	32208682	+	IQCC	ENSG00000160051.12
1	32209094	32216196	+	DCDC2B	ENSG00000222046.2
1	32214472	32222359	-	TMEM234	ENSG00000160055.20
1	32221077	32245397	+	EIF3I	ENSG00000084623.12
1	32247222	32248856	+	FAM167B	ENSG00000183615.6
1	32251239	32286165	+	LCK	ENSG00000182866.17
1	32292083	32333635	+	HDAC1	ENSG00000116478.12
1	32333839	32336233	-	MARCKSL1	ENSG00000175130.7
1	32351521	32364312	+	TSSK3	ENSG00000162526.7
1	32361270	32364278	-	FAM229A	ENSG00000225828.1
1	32364633	32394731	-	BSDC1	ENSG00000160058.19
1	32465057	32600792	+	AL033529.1	ENSG00000254553.1
1	32465072	32496686	+	ZBTB8B	ENSG00000273274.2
1	32539427	32605941	+	ZBTB8A	ENSG00000160062.15
1	32600172	32650903	-	ZBTB8OS	ENSG00000176261.15
1	32651142	32686211	+	RBBP4	ENSG00000162521.19
1	32679906	32703596	-	SYNC	ENSG00000162520.15
1	32741830	32774970	+	KIAA1522	ENSG00000162522.11
1	32775237	32818153	-	YARS1	ENSG00000134684.11
1	32816767	32858875	+	S100PBP	ENSG00000116497.18
1	32862268	32872482	-	FNDC5	ENSG00000160097.20
1	32885994	32898441	+	HPCA	ENSG00000121905.10
1	32894594	32901438	-	TMEM54	ENSG00000121900.19
1	32936445	32964809	-	RNF19B	ENSG00000116514.17
1	33007940	33080996	-	AK2	ENSG00000004455.17
1	33081104	33123492	+	AZIN2	ENSG00000142920.17
1	33145399	33182059	-	TRIM62	ENSG00000116525.14
1	33256492	33300719	+	ZNF362	ENSG00000160094.15
1	33306766	33321098	-	A3GALT2	ENSG00000184389.9
1	33323623	33431052	-	PHC2	ENSG00000134686.18
1	33472645	33496507	+	ZSCAN20	ENSG00000121903.14
1	33513999	34165842	-	CSMD2	ENSG00000121904.17
1	33860475	33864791	+	HMGB4	ENSG00000176256.10
1	34166883	34219131	+	C1orf94	ENSG00000142698.15
1	34712737	34859755	-	SMIM12	ENSG00000163866.9
1	34755047	34758512	+	GJB5	ENSG00000189280.3
1	34759740	34762327	+	GJB4	ENSG00000189433.7
1	34781214	34786369	+	GJB3	ENSG00000188910.8
1	34792999	34795747	+	GJA4	ENSG00000187513.9
1	34865436	34929650	-	DLGAP3	ENSG00000116544.12
1	34974356	34985313	-	AC114490.3	ENSG00000284773.1
1	34981533	35031741	-	AC114490.2	ENSG00000271741.1
1	34981535	34985353	-	TMEM35B	ENSG00000243749.1
1	34986165	35031945	-	ZMYM6	ENSG00000163867.17
1	35032172	35115859	+	ZMYM1	ENSG00000197056.11
1	35176378	35193145	-	SFPQ	ENSG00000116560.11
1	35268709	35422058	+	ZMYM4	ENSG00000146463.12
1	35433492	35557950	-	KIAA0319L	ENSG00000142687.18
1	35557473	35567274	+	NCDN	ENSG00000020129.16
